"","age1_orange.R","age2_no_comorbid_orange.R","age2_comorbid_green.R","age3_no_comorbid_green.R","age3_comorbid_green.R"
"958",748,821,0,0,0
"959",749,822,0,0,0
"960",759,831,84,30,28
"961",0,0,0,0,0
"962",750,820,84,29,27
"963",1,1,0,0,0
"964",0,1,0,0,0
"965",746,814,0,0,0
"966",757,821,0,0,0
"967",738,817,1,0,0
"968",0,1,0,0,0
"969",749,794,97,28,24
"970",761,830,88,24,22
"971",756,832,82,38,21
"972",761,803,90,27,24
"973",752,810,85,31,36
"974",741,800,0,0,0
"975",754,825,0,0,0
"976",744,813,0,0,0
"977",756,813,78,28,25
"978",737,814,84,32,26
"979",753,805,73,31,17
"980",759,806,88,22,31
"981",756,832,75,23,28
"982",0,1,0,0,0
"983",0,1,0,0,0
"984",752,811,0,0,0
"985",756,831,0,0,0
"986",758,832,0,0,0
"987",737,811,79,29,23
"988",0,0,0,0,0
"989",743,815,71,26,26
"990",757,820,71,30,22
"991",743,817,89,28,20
"992",762,801,83,29,29
"993",0,1,0,0,0
"994",757,831,84,29,25
"995",753,821,78,27,30
"996",750,832,0,0,0
"997",756,820,0,0,0
"998",748,827,80,31,24
"999",759,826,0,0,0
"1000",749,834,0,0,0
"1001",750,825,0,0,0
"1002",0,1,0,0,0
"1003",0,1,0,0,0
"1004",752,835,77,27,23
"1005",751,833,81,26,19
"1006",0,1,0,0,0
"1007",746,824,81,31,25
"1008",746,833,85,27,19
"1009",0,1,0,0,0
"1010",740,816,81,27,21
"1011",1,1,0,0,0
"1012",763,795,0,0,0
"1013",749,827,0,0,0
"1014",750,813,81,25,29
"1015",747,806,84,32,24
"1016",0,1,0,0,0
"1017",746,802,88,27,21
"1018",739,830,80,23,22
"1019",762,831,87,30,25
"1020",748,827,1,0,0
"1021",753,803,80,26,28
"1022",756,830,80,24,23
"1023",753,815,84,25,26
"1024",750,825,5,0,0
"1025",741,805,89,33,22
"1026",0,0,0,0,0
"1027",749,830,90,31,27
"1028",737,809,80,26,20
"1029",0,1,0,0,0
"1030",750,824,0,0,0
"1031",738,804,86,24,21
"1032",750,810,87,29,30
"1033",765,837,1,0,0
"1034",759,816,92,31,23
